Project,class,Comment,Comment size,Intent(who I am),Responsibilities(What I do and What I know),Collaborators,Key messages,Key implementation points,Instance variables,Reference to other resources (other class(es)/documentation),Subclasses Explanation,Class references,Example,To do comments,Coding guidlines,Warnings/ Note,Discourse,Links,Extension,Recommendations,Observations,Precondition,Dependencies,License/ copyright information,Other,Class,Intent,Responsibilities,ReferenceToOtherResources,Todo comments,Warnings,Extensions,Preconditions,License/copyright
Roassal,RTAbstractExample,"I am the super class of all the roassal examples.

Try to use this script to know the excecution of roassal examples 

| examples errors |
examples := OrderedCollection new.
errors := OrderedCollection new.
(RTAbstractExample subclasses collect: #new) 
        do: [ :example | 
                example gtExamples do: [:met | | time builder |
                        time := DateAndTime now.
                        [builder := example perform: met selector.
                        (builder isKindOf: RTBuilder) 
                                ifTrue: [ builder build ].
                        time := DateAndTime now - time.
                        time > (1 asDuration)
                                ifTrue: [ examples add: met->time ]
                        ] on: Error do: [ errors add: met ] ] ]
        displayingProgress: 'Running examples'.
examples->errors",20,,,,,,,,,,"
Try to use this script to know the excecution of roassal examples 

| examples errors |
examples := OrderedCollection new.
errors := OrderedCollection new.
(RTAbstractExample subclasses collect: #new) 
        do: [ :example | 
                example gtExamples do: [:met | | time builder |
                        time := DateAndTime now.
                        [builder := example perform: met selector.
                        (builder isKindOf: RTBuilder) 
                                ifTrue: [ builder build ].
                        time := DateAndTime now - time.
                        time > (1 asDuration)
                                ifTrue: [ examples add: met->time ]
                        ] on: Error do: [ errors add: met ] ] ]
        displayingProgress: 'Running examples'.
examples->errors",,,,,,,,,,,,,,I am the super class of all the roassal examples.,,,,,,,
Roassal,RTVerticalMultipleData,"RTVerticalMultipleData represents a group of data points that are vertically located. Each group has the same X value.

Negative data are not allowed.

Here is an example:
[[[
| b d |                        
b := RTGrapher new.

d := RTVerticalMultipleData new.
d points: #( #('hello' 1 2 1) #('world' 2 4 2 ) #('bonjour' 3 5 4) #('bonjour' 3 5 4 ) #('bonjour' 3 5 4)).
d addMetric: #second.
d addMetric: #third.
d addMetric: #fourth.

d barChartWithBarTitle: #first rotation: -30.
b add: d.

b                        
]]] 

Here another example:
[[[
| b d classes |
classes := (Collection withAllSubclasses reverseSortedAs: #numberOfMethods) first:        10.
                        
b := RTGrapher new.

d := RTVerticalMultipleData new.
d points: classes.
d addMetric: #numberOfLinesOfCode.
d addMetric: #numberOfMethods.

d barChartWithBarTitle: #name rotation: -30.
b add: d.

b
]]]                        ",38,,,RTVerticalMultipleData represents a group of data points that are vertically located.,,"Each group has the same X value.

Negative data are not allowed.",,,,,"
Here is an example:
[[[
| b d |                        
b := RTGrapher new.

d := RTVerticalMultipleData new.
d points: #( #('hello' 1 2 1) #('world' 2 4 2 ) #('bonjour' 3 5 4) #('bonjour' 3 5 4 ) #('bonjour' 3 5 4)).
d addMetric: #second.
d addMetric: #third.
d addMetric: #fourth.

d barChartWithBarTitle: #first rotation: -30.
b add: d.

b                        
]]] 

Here another example:
[[[
| b d classes |
classes := (Collection withAllSubclasses reverseSortedAs: #numberOfMethods) first:        10.
                        
b := RTGrapher new.

d := RTVerticalMultipleData new.
d points: classes.
d addMetric: #numberOfLinesOfCode.
d addMetric: #numberOfMethods.

d barChartWithBarTitle: #name rotation: -30.
b add: d.

b
]]]                        ",,,,,,,,,,,,,,RTVerticalMultipleData represents a group of data points that are vertically located.,,,,,,,
Roassal,RTHighlightableWithCursor,"Highlight to indicates that some interaction be can done. It changes the cursor aspect

E.g.,

-=-=-=
| b |
b := RTUMLClassBuilder new
   instanceVariables: #instVarNames;
   methodselector: #selector;
        methodsNames: #rtmethods;
        attributeselector: #yourself.
b attributeShape color: Color black.
b methodShape color: Color black.
b classNameShape color: Color black.
b lineShape color: Color black.
b boxShape borderColor: Color black.

b addObjects: (Collection withAllSubclasses ).
b layout tree.

b build.

b view elements @ RTHighlightableWithCursor.
^b view
-=-=-=

-=-=-=
b := RTMondrian new.
b shape circle size: 10.
b interaction showEdge 
        connectToAll: #subclasses.

b interaction showLabel 
        highlightObjects: #subclasses.
        

nodes := b nodes: (Collection withAllSubclasses).
nodes @ RTHighlightableWithCursor.
b edges moveBehind; connectFrom: #superclass.
b layout radial.
b
-=-=-=",42,,,It changes the cursor aspect,,,,,,,"
E.g.,

-=-=-=
| b |
b := RTUMLClassBuilder new
   instanceVariables: #instVarNames;
   methodselector: #selector;
        methodsNames: #rtmethods;
        attributeselector: #yourself.
b attributeShape color: Color black.
b methodShape color: Color black.
b classNameShape color: Color black.
b lineShape color: Color black.
b boxShape borderColor: Color black.

b addObjects: (Collection withAllSubclasses ).
b layout tree.

b build.

b view elements @ RTHighlightableWithCursor.
^b view
-=-=-=

-=-=-=
b := RTMondrian new.
b shape circle size: 10.
b interaction showEdge 
        connectToAll: #subclasses.

b interaction showLabel 
        highlightObjects: #subclasses.
        

nodes := b nodes: (Collection withAllSubclasses).
nodes @ RTHighlightableWithCursor.
b edges moveBehind; connectFrom: #superclass.
b layout radial.
b
-=-=-=",,,,,,,,,,,,,,,Highlight to indicates that some interaction be can done,,,,,,
Roassal,RTLineDecorationExample,"RTLineDecorationExample new installTitle: 'Cool' 
                code:
                '
        | v b1 b2 edges |
        b1 := (RTBox new
                size: 100;
                element)
                translateTo: 0 @ 0;
                @ RTDraggable.
        b2 := (RTBox new
                size: 100;
                element)
                translateTo: 400 @ 0;
                @ RTDraggable.
        edges := OrderedCollection new.
        edges add: ((RTArrowedLine new head: RTFilledDiamond asHead; color: Color black; width: 2; attachPoint: (RTRectangleAttachPoint new offset: 15)) edgeFrom: b1 to: b2).
        edges add: ((RTDecoratedLine new color: Color blue; width: 2; attachPoint: (RTRectangleAttachPoint new offset: 15)) edgeFrom: b1 to: b2).
        edges add: ((RTDecoratedLine new filledDiamondHead; color: Color green; width: 2; attachPoint: (RTRectangleAttachPoint new offset: 15)) edgeFrom: b1 to: b2).
        edges add: ((RTDecoratedLine new filledDiamondHead; emptyCircleTail; color: Color red; width: 2; attachPoint: (RTRectangleAttachPoint new offset: 15)) edgeFrom: b1 to: b2).


v := RTView new
        add: b1;
        add: b2;
        addAll: edges.
edges do: [ :each | each update ].
v
'
        ",29,,,,,,,,,,"RTLineDecorationExample new installTitle: 'Cool' 
                code:
                '
        | v b1 b2 edges |
        b1 := (RTBox new
                size: 100;
                element)
                translateTo: 0 @ 0;
                @ RTDraggable.
        b2 := (RTBox new
                size: 100;
                element)
                translateTo: 400 @ 0;
                @ RTDraggable.
        edges := OrderedCollection new.
        edges add: ((RTArrowedLine new head: RTFilledDiamond asHead; color: Color black; width: 2; attachPoint: (RTRectangleAttachPoint new offset: 15)) edgeFrom: b1 to: b2).
        edges add: ((RTDecoratedLine new color: Color blue; width: 2; attachPoint: (RTRectangleAttachPoint new offset: 15)) edgeFrom: b1 to: b2).
        edges add: ((RTDecoratedLine new filledDiamondHead; color: Color green; width: 2; attachPoint: (RTRectangleAttachPoint new offset: 15)) edgeFrom: b1 to: b2).
        edges add: ((RTDecoratedLine new filledDiamondHead; emptyCircleTail; color: Color red; width: 2; attachPoint: (RTRectangleAttachPoint new offset: 15)) edgeFrom: b1 to: b2).


v := RTView new
        add: b1;
        add: b2;
        addAll: edges.
edges do: [ :each | each update ].
v
'
        ",,,,,,,,,,,,,,,,,,,,,
Moose,FamixTTrait,FAMIXTrait models a trait as it can be found in Pharo or PHP.,1,,,FAMIXTrait models a trait as it can be found in Pharo or PHP.,,,,,,,,,,,,,,,,,,,,,,FAMIXTrait models a trait as it can be found in Pharo or PHP.,,,,,,
Moose,MooseSystemComplexityLocator,self openOn: MooseModel root allModels last allModelClasses,1,,,,,,,,,,self openOn: MooseModel root allModels last allModelClasses,,,,,,,,,,,,,,,,,,,,,
Moose,FAMIXNamespaceGroup,FAMIXNamespaceGroup is a MooseGroup containing only FAMIX enities of type FAMIXNamespace.,1,,, containing only FAMIX enities of type FAMIXNamespace.,,,,,,FAMIXNamespace,,,,,,,,,,,,,,,FAMIXNamespaceGroup is a MooseGroup , containing only FAMIX enities of type FAMIXNamespace.,,,,,,
Moose,KGBForMetricsTestResource,I am a test resource building a FamixStModel with some of KGB packages used for metrics tests.,1,,,building a FamixStModel with some of KGB packages used for metrics test,,,,,,FamixStModel,,,,,,,,,,,,,,,I am a test resource ,building a FamixStModel with some of KGB packages used for metrics test,,,,,,
Moose,FameOppositeClassNotExistRule,Check if the opposite class declared in a pragma #MSEProperty:type:opposite: is defined.,1,,,,,,,,,,,,,,,,,,,,,,,,,Check if the opposite class declared in a pragma #MSEProperty:type:opposite: is defined.,,,,,,
Moose,MalBreadthFirstSearchPath,"Breadth-first search (BFS) is an algorithm for traversing or searching tree or graph data structures. It starts at the tree root (or some arbitrary node of a graph, sometimes referred to as a `search key') and explores the neighbor nodes first, before moving to the next level neighbours. (source: Wikipedia)",1,,,,,,,,,,,,,,,,,,,,,,,,Breadth-first search (BFS) is an algorithm for traversing or searching tree or graph data structures. ,"Breadth-first search (BFS) is an algorithm for traversing or searching tree or graph data structures. It starts at the tree root (or some arbitrary node of a graph, sometimes referred to as a `search key') and explores the neighbor nodes first, before moving to the next level neighbours.", (source: Wikipedia),,,,,
Moose,FAMIXAnnotationTypeGroup,FAMIXAnnotationTypeGroup is a MooseGroup containing only FAMIX enities of type FAMIXAnnotationType.,1,,,,,,,,,"MooseGroup
FAMIXAnnotationType.",,,,,,,,,,,,,,,FAMIXAnnotationTypeGroup is a MooseGroup containing only FAMIX enities of type FAMIXAnnotationType.,FAMIXAnnotationTypeGroup is a MooseGroup containing only FAMIX enities of type FAMIXAnnotationType.,,,,,,
Moose,MalRowMatrix,"Copyright (c), 2004-2007 Adrian Kuhn. This class is part of Hapax. Hapax is distributed under BSD License, see package comment.",1,,,"This class is part of Hapax. Hapax is distributed under BSD License, see package comment.",,,,,,,,,,,,,,,,,,,,,"This class is part of Hapax. Hapax is distributed under BSD License, see package comment.",,"This class is part of Hapax. Hapax is distributed under BSD License, see package comment.",,,,,"Copyright (c), 2004-2007 Adrian Kuhn. This class is part of Hapax. Hapax is distributed under BSD License, see package comment."
Moose,MooseVisualLocator,The MooseVisualLocator is a simple template that offers a list of classes on the left hand side and some presentation on the right hand side. It is meant to be subclassed.,1,,,,, It is meant to be subclassed.,,,,,,,,,,,,,,,,,,,The MooseVisualLocator is a simple template ,that offers a list of classes on the left hand side and some presentation on the right hand side.,,,,,,
Moose,MalDendrogramNode,"Copyright (c), 2004-2007 Adrian Kuhn. This class is part of Hapax. Hapax is distributed under BSD License, see package comment.",1,,,"This class is part of Hapax. Hapax is distributed under BSD License, see package comment.",,,,,,,,,,,,,,,,,,,,,"This class is part of Hapax. Hapax is distributed under BSD License, see package comment.",," Hapax is distributed under BSD License, see package comment.",,,,,"Copyright (c), 2004-2007 Adrian Kuhn. Hapax is distributed under BSD License,"
Moose,ManifestMooseQuery,I store metadata for this package. These meta data are used by other tools such as the SmalllintManifestChecker and the critics Browser,1,,,These meta data are used by other tools such as the SmalllintManifestChecker and the critics Browser,,,,,, SmalllintManifestChecker,,,,,,,,,,,,,,,,I store metadata for this package. ,,,,,,
Moose,MalFormalContext,MalFormalContext mammals2 computeConcepts,1,,,,,,,,,,MalFormalContext mammals2 computeConcepts,,,,,,,,,,,,,,,,,,,,,
Moose,PackageBlueprintTestResource,I am a test resource building a FamixStModel with the package blueprint test resource entities.,1,,,I am a test resource building a FamixStModel with the package blueprint test resource entities.,,,,,,FamixStModel,,,,,,,,,,,,,,,I am a test resource building a FamixStModel with the package blueprint test resource entities.,I am a test resource building a FamixStModel with the package blueprint test resource entities.,,,,,,
Moose,ManifestFamixPharoSmalltalkEntities,I store metadata for this package. These meta data are used by other tools such as the SmalllintManifestChecker and the critics Browser,1,,,These meta data are used by other tools such as the SmalllintManifestChecker and the critics Browser,,,,,,SmalllintManifestChecker,,,,,,,,,,,,,,,,I store metadata for this package.,,,,,,
Moose,MalNodeWithPreviousAndNext,"A basic node able to host the model and to represent edges with no additional class.
Edges are navigable in both way through the nextNodes and prevousNodes instances variables.",2,,,,,,Edges are navigable in both way through the nextNodes and prevousNodes instances variables.,,,,,,,,,,,,,,,,,,,A basic node able to host the model and to represent edges with no additional class.,,,,,,
Moose,MooseAbstractImporter,"I'm the root for the new importer.
This way my subclasses share error logging and importerContext",2,,,,,,,,This way my subclasses share error logging and importerContext,,,,,,,,,,,,,,,,I'm the root for the new importer.,,,,,,,
Moose,FamixTPackage,"FAMIXPackage represents a package in the source language, meaning that it provides a means to group entities without any baring on lexical scoping. 

Java extractors map Java packages to FAMIXNamespaces. They can also mirror the same information in terms of FAMIXPackage instances.",3,,,,,Java extractors map Java packages to FAMIXNamespaces. They can also mirror the same information in terms of FAMIXPackage instances.,,,,"FAMIXNamespaces
FAMIXPackage",,,,,,,,,,,,,,,"FAMIXPackage represents a package in the source language,",meaning that it provides a means to group entities without any baring on lexical scoping.,,,,,,
Moose,TOODependencyQueries,"A TOODependencyQueries defines a vocabulary to compute dependencies of object-oriented entities.

For more informations: https://moosequery.ferlicot.fr/",3,,,,,,,,,,,,,,,"
https://moosequery.ferlicot.fr/",,,,,,,,,,A TOODependencyQueries defines a vocabulary to compute dependencies of object-oriented entities.,"
For more informations: https://moosequery.ferlicot.fr/",,,,,
Moose,MalKruskal,"Kruskal's algorithm is a greedy algorithm in graph theory that finds a minimum spanning tree for a connected weighted graph. This means it finds a subset of the edges that forms a tree that includes every vertex, where the total weight of all the edges in the tree is minimized. If the graph is not connected, then it finds a minimum spanning forest (a minimum spanning tree for each connected component).

See https://en.wikipedia.org/wiki/Kruskal%27s_algorithm",3,,,,,,,,,,,,,,,"
See https://en.wikipedia.org/wiki/Kruskal%27s_algorithm",,,,,,,,,,"Kruskal's algorithm is a greedy algorithm in graph theory that finds a minimum spanning tree for a connected weighted graph. This means it finds a subset of the edges that forms a tree that includes every vertex, where the total weight of all the edges in the tree is minimized. If the graph is not connected, then it finds a minimum spanning forest (a minimum spanning tree for each connected component).","
See https://en.wikipedia.org/wiki/Kruskal%27s_algorithm",,,,,
Moose,FamixGenerator,"| g |
g := FamixGenerator new.
g generateWithoutCleaning.
FamixCompatibilityGenerator resetMetamodel. ",4,,,,,,,,,,"| g |
g := FamixGenerator new.
g generateWithoutCleaning.
FamixCompatibilityGenerator resetMetamodel. ",,,,,,,,,,,,,,,,,,,,,
Moose,FamixTDereferencedInvocation,"Represents an invocation which function is contained in a pointer.

The function itself is typically unknown (referenced by the pointer).

It has a referencer which is the pointer variable",5,,,,,,,,,,,,,,,,,,,,,,,,Represents an invocation which function is contained in a pointer.,The function itself is typically unknown (referenced by the pointer).It has a referencer which is the pointer variable,,,The function itself is typically unknown (referenced by the pointer).,,,
Moose,MooseCustomTask,"MooseCustomTask is a task perform some computation specified as a block.

The main API is then

        with: aBlock description: aDescription length: aNumber",5,,,,"The main API is then

        with: aBlock description: aDescription length: aNumber",,,,,,,,,,,,,,,,,,,,MooseCustomTask is a task perform some computation specified as a block.,,,,,,,
Moose,FamixTParameterType,"ParameterType represents the symbolic type used in parameterizable classes. This is a FAMIXType.

Example:
public class AClass<A,B,C> {
...
}

Where AClass is a ParameterizableClass. A, B and C are ParameterType of AClass.",8,,,,,,,,,,"Example:
public class AClass<A,B,C> {
...
}

Where AClass is a ParameterizableClass. A, B and C are ParameterType of AClass.",,,,,,,,,,,,,,ParameterType represents the symbolic type used in parameterizable classes. This is a FAMIXType.,,,,,,,
Moose,FmxMBPrintVisitor,"I'm a visitor for instances of #FamixMetamodelGenerator and subclasses.

I just visit each node in the builder, and print it on the Transcript.

see FmxMBVisitor to see how to use me.
",6,,,,,,,,,FmxMBVisitor,,,,,,,,,,,,,,,"""I'm a visitor for instances of #FamixMetamodelGenerator and subclasses.
","
I just visit each node in the builder, and print it on the Transcript.
","
see FmxMBVisitor to see how to use me.
""",,,,,
Moose,MalTerms,"Terms subclasses Bag with support for handling stopwords etc.

example: string
        | terms |
        terms := Terms new.
        terms addString: string using: CamelCaseScanner new.
        terms withCoundDo: [ :term :count |
                term -> count ].

Copyright (c), 2004-2007 Adrian Kuhn. This class is part of Hapax. Hapax is distributed under BSD License, see package comment.",10,,,"Copyright (c), 2004-2007 Adrian Kuhn. This class is part of Hapax. Hapax is distributed under BSD License, see package comment.""",,,,,,,example: string | terms | terms := Terms new. terms addString: string using: CamelCaseScanner new. terms withCoundDo: [ :term :count | term -> count ]. ,,,,,,,,,,,,,,"""Terms subclasses Bag with support for handling stopwords etc.","""Terms subclasses Bag with support for handling stopwords etc.","Hapax is distributed under BSD License, see package comment.",,,,,"Copyright (c), 2004-2007 Adrian Kuhn. This class is part of Hapax. Hapax is distributed under BSD License, see package comment."
Moose,FMOne,"Description
--------------------

I am a relation slot representing a property containing only one element.

Examples
--------------------

        Trait named: #FamixTMethod
                slots: { #parentType => FMOne type: #FamixTWithMethods opposite: #methods }
                package: 'Famix-Traits-Method'",11,,,,,,,,,,"
Examples
--------------------

        Trait named: #FamixTMethod
                slots: { #parentType => FMOne type: #FamixTWithMethods opposite: #methods }
                package: 'Famix-Traits-Method'",,,,,,,,,,,,,,"Description
--------------------

I am a relation slot representing a property containing only one element.",,,,,,,
Moose,LANInterface,"LAN Interface comments for testing purposes.

Instance Variables:
	addressee	<ValueHolder>	description of addressee
	contents	<ValueHolder>	description of contents
	deviceNameMenu	<ValueModel>	description of deviceNameMenu
	nextNode	<ValueHolder>	description of nextNode
	nodeList	<SelectionInList>	description of nodeList
	nodeName	<ValueHolder>	description of nodeName
	originator	<ValueHolder>	description of originator
",11,,,,,,"
Instance Variables:
	addressee	<ValueHolder>	description of addressee
	contents	<ValueHolder>	description of contents
	deviceNameMenu	<ValueModel>	description of deviceNameMenu
	nextNode	<ValueHolder>	description of nextNode
	nodeList	<SelectionInList>	description of nodeList
	nodeName	<ValueHolder>	description of nodeName
	originator	<ValueHolder>	description of originator
""",,,,,,,,,,,,,,,,,,"""LAN Interface comments for testing purposes.","""LAN Interface comments for testing purposes.",,,,,,
Moose,FMMSEPrinter,"Description
--------------------

I am responsible of printing the MSE format markup during a model export.

Examples
--------------------

        | printer |
        printer := FMMSEPrinter onString.
        FMMetaMetaModel default exportWithPrinter: printer.
        printer stream contents",12,,,,,,,,,,"
Examples
--------------------

	| printer |
	printer := FMMSEPrinter onString.
	FMMetaMetaModel default exportWithPrinter: printer.
	printer stream contents""",,,,,,,,,,,,,,"""Description
--------------------

I am responsible of printing the MSE format markup during a model export.",,,,,,,
Moose,FMFutureProperty,"Description
--------------------

I represent a property of the object currently been imported while it is not yet imported.

I will be useful until all my values are resolved. Each time a value is resolved I'll check if I can be resolved. In that case, I'll push my values in real property.
 
Internal Representation and Key Implementation Points.
--------------------

    Instance Variables
	parentClass:		<aFMFutureEntity>		The entity owning the property.
	values:			<aCollection>			The values of the property. Those values can contain dangling references while everything is not imported yet.",13,,,,,,"
Internal Representation and Key Implementation Points.
--------------------

    Instance Variables
	parentClass:		<aFMFutureEntity>		The entity owning the property.
	values:			<aCollection>			The values of the property. Those values can contain dangling references while everything is not imported yet.""",,,,,,,,,,,,,,,,,,"""Description
--------------------

I represent a property of the object currently been imported while it is not yet imported.","
I represent a property of the object currently been imported while it is not yet imported.

I will be useful until all my values are resolved. Each time a value is resolved I'll check if I can be resolved. In that case, I'll push my values in real property.
 ",,,,,,
Moose,FamixJavaEntity,"file :=  'ArgoUML-0.34.mse' asFileReference readStream.

dictionary := Dictionary newFrom: (
        FamixJavaEntity withAllSubclasses collect: [ :c | 
                cn := c name withoutPrefix: #FamixJava.
                ('FAMIX.', cn) -> ('FamixJava-Entities.', cn) ]).

dictionary at: 'FAMIX.JavaSourceLanguage' put: 'FamixJava-Entities.SourceLanguage'.

repo := MooseModel importFrom: file withMetamodel: FamixJavaGenerator metamodel translationDictionary: dictionary.

model := MooseModel new.
        model silentlyAddAll: repo elements.
        model entityStorage forRuntime.
model.",15,,,,,,,,,,"file :=  'ArgoUML-0.34.mse' asFileReference readStream.

dictionary := Dictionary newFrom: (
        FamixJavaEntity withAllSubclasses collect: [ :c | 
                cn := c name withoutPrefix: #FamixJava.
                ('FAMIX.', cn) -> ('FamixJava-Entities.', cn) ]).

dictionary at: 'FAMIX.JavaSourceLanguage' put: 'FamixJava-Entities.SourceLanguage'.

repo := MooseModel importFrom: file withMetamodel: FamixJavaGenerator metamodel translationDictionary: dictionary.

model := MooseModel new.
        model silentlyAddAll: repo elements.
        model entityStorage forRuntime.
model.",,,,,,,,,,,,,,,,,,,,,
Moose,FMRelationSlot,"Description
--------------------

I am an abstract slot used to declare fame properties for a class.
The declared properties with my subclasses must have an opposite.

A relation slot will have:
- A name which is the name of the property
- A type which is the type of the property 
- An inverse name which is the name of the opposite property.

My sublasses will define everything related to the cardinality of the relation side.
 
Internal Representation and Key Implementation Points.
--------------------

    Instance Variables
        inverseName:                <aString>                The name of the opposite slot.
        inverseSlot:                <aSlot>
        targetClass:                <aClass>",20,,,,,,"A relation slot will have:
- A name which is the name of the property
- A type which is the type of the property 
- An inverse name which is the name of the opposite property.


Internal Representation and Key Implementation Points.
--------------------

    Instance Variables
        inverseName:                <aString>                The name of the opposite slot.
        inverseSlot:                <aSlot>
        targetClass:                <aClass>",,My sublasses will define everything related to the cardinality of the relation side.,,,,,,,,,,,,,,,,"Description
--------------------

I am an abstract slot", used to declare fame properties for a class.,,,,The declared properties with my subclasses must have an opposite.,,
Moose,MalLatticePatterns,"The class implements the identification of patterns in FCA lattices. We can detect like horizontal decomposition with the algos in the class.

| data fca context lattice |
        data := #(#(#Cat #(#fourlegs #hair)) #(#Dog #(#smart #fourlegs #hair)) #(#Dolphin #(#smart #marine)) #(#Gibbon #(#hair #smart #thumbed)) #(#Man #(#smart #thumbed)) #(#Whale #(#smart #marine))).
        fca := MalFormalContext new.
        context := fca with: data using: #first using: #last.
        (MalLatticePatterns on: (MalLattice on: context)) reportPatterns

For moose models
        
|fca model treillis context|
model := (MooseModel root allModels) second.
fca := MalFormalContext new.
context := fca with: (model allModelClasses) using: #yourself using: [:cl | cl methods collect: [:m | m name]].
treillis := (MalLattice on: context).
Transcript clear.
(MalLatticePatterns on: treillis) reportPatterns.
(MalLattice new viewLattice: treillis).


Smalltalk collection class hierarchy:

|fca model treillis context|
treillis := (MalLattice on: MalFormalContext classHierarchyCollection).
(MalLatticePatterns on: treillis) reportModules.",25,,,,,,,,,,"| data fca context lattice |
        data := #(#(#Cat #(#fourlegs #hair)) #(#Dog #(#smart #fourlegs #hair)) #(#Dolphin #(#smart #marine)) #(#Gibbon #(#hair #smart #thumbed)) #(#Man #(#smart #thumbed)) #(#Whale #(#smart #marine))).
        fca := MalFormalContext new.
        context := fca with: data using: #first using: #last.
        (MalLatticePatterns on: (MalLattice on: context)) reportPatterns

For moose models
        
|fca model treillis context|
model := (MooseModel root allModels) second.
fca := MalFormalContext new.
context := fca with: (model allModelClasses) using: #yourself using: [:cl | cl methods collect: [:m | m name]].
treillis := (MalLattice on: context).
Transcript clear.
(MalLatticePatterns on: treillis) reportPatterns.
(MalLattice new viewLattice: treillis).


Smalltalk collection class hierarchy:

|fca model treillis context|
treillis := (MalLattice on: MalFormalContext classHierarchyCollection).
(MalLatticePatterns on: treillis) reportModules.",,,,,,,,,,,,,,,The class implements the identification of patterns in FCA lattices. We can detect like horizontal decomposition with the algos in the class.,,,,,,
Moose,MalHgNode,"A MalHgNode is a node inside a hierarchical graph. It knows the graph it belongs to, its children and its parent, on which level in the graph it resides and its outgoing ind incoming edges. One can also store arbitrary informaition as attributes to a node.

Instance Variables
        attributes:                <Dictionary>
        children:                <OrderedCollection>
        hiGraph:                <MalHierarchicalGraph>
        incoming:                <OrderedCollection>
        level:                      <Number>
        outgoing:                <OrderedCollection>
        parent:                      <MalHgNode>

attributes
        - Dictionary to attach arbitrary information to a node

children
        - This nodes children. Empty collection if the node is a leaf in the hierarchy.

hiGraph
        - The MalHierarchicalGraph this node belongs to.

incoming
        - All incoming edges to this node.

level
        - The level this node is on in the hierachy where 0 is the top level (root nodes). The larger the number, the deeper down in the hierarchy the node is located.

outgoing
        - All outgoing edges from this node.

parent
        - This nodes parent",31,,,,"
attributes
        - Dictionary to attach arbitrary information to a node

children
        - This nodes children. Empty collection if the node is a leaf in the hierarchy.

hiGraph
        - The MalHierarchicalGraph this node belongs to.

incoming
        - All incoming edges to this node.

level
        - The level this node is on in the hierachy where 0 is the top level (root nodes). The larger the number, the deeper down in the hierarchy the node is located.

outgoing
        - All outgoing edges from this node.

parent
        - This nodes parent",,"
Instance Variables
        attributes:                <Dictionary>
        children:                <OrderedCollection>
        hiGraph:                <MalHierarchicalGraph>
        incoming:                <OrderedCollection>
        level:                      <Number>
        outgoing:                <OrderedCollection>
        parent:                      <MalHgNode>",,"It knows the graph it belongs to, its children and its parent, on which level in the graph it resides and its outgoing ind incoming edges",,,,,,,,,,,,,,,,A MalHgNode is a node inside a hierarchical graph.,"It knows the graph it belongs to, its children and its parent, on which level in the graph it resides and its outgoing ind incoming edges. One can also store arbitrary informaition as attributes to a node.",,,,,,
